hole_number,depth_from,depth_to,CLV
VGA4-GT-R00030,0,0.5,INF
VGA4-GT-R00030,0.5,8,ICTF
VGA4-GT-R00030,51.6,65.2,IGOS
VGA4-GT-R00029,29.65,40.15,IGOF
VGA4-GT-R00029,40.15,52.8,IF
VGA4-GT-R00029,52.8,80,IF
VGA4-GT-R00028,24.7,27.2,IGOF
VGA4-GT-R00028,44.5,49.85,ICTS
VGA4-GT-R00028,49.85,55,IGOF
VGA4-GT-R00027,0,26.65,IF
VGA4-GT-R00027,26.65,50.25,IF
VGA4-GT-R00027,50.25,76.95,IGOF
VGA4-GT-R00027,76.95,100.15,FGF
VGA4-GT-R00026,0,25.8,FLF
VGA4-GT-R00026,25.8,31.45,IF
VGA4-GT-R00026,31.45,44.55,IF
VGA4-GT-R00026,44.55,46.45,IGOF
VGA4-GT-R00026,46.45,47.95,SR
VGA4-GT-R00026,47.95,50,IGOF
VGA4-GT-R00025,0,7.7,ICTF
VGA4-GT-R00025,7.7,17.2,IF
VGA4-GT-R00024,0,7.55,IGOF
VGA4-GT-R00024,7.55,33.35,IF
VGA4-GT-R00024,33.35,53.6,IS
VGA4-GT-R00023,0,12.95,IGOF
VGA4-GT-R00023,12.95,19.3,IS
VGA4-GT-R00022,0,24,IF
VGA4-GT-R00022,24,33.2,IS
VGA4-GT-R00022,33.2,42.3,IGOF
VGA4-GT-R00022,42.3,50,IF
VGA4-GT-R00021,0,18.15,IC
VGA4-GT-R00021,18.15,26.55,IS
VGA4-GT-R00021,26.55,68.4,IMNF
VGA4-GT-R00021,68.4,82.55,IF
VGA4-GT-R00021,82.55,94.9,IF
VGA4-GT-R00021,94.9,100,IGOF
VGA4-GT-R00020,0,14.9,IGOF
VGA4-GT-R00020,14.9,22.8,IF
VGA4-GT-R00020,37.55,50.45,IF
VGA4-GT-R00019,0,5.45,ICTF
VGA4-GT-R00019,5.45,50.55,ICTS
VGA4-GT-R00018,74.1,81.6,IGOF
VGA4-GT-R00018,81.6,93.5,ICTF
VGA4-GT-R00018,93.5,96.85,IGOF
VGA4-GT-R00018,96.85,100.65,ICTF
VGA4-GT-R00017,32.1,50,ICTC
VGA4-GT-R00016,0,4.8,CG
VGA4-GT-R00016,4.8,16.85,IGOF
VGA4-GT-R00016,67.8,77.95,IMNF
VGA4-GT-R00016,77.95,100,ICTF
VGA4-GT-R00015,0,13.5,ICTF
VGA4-GT-R00015,13.5,26.25,INF
VGA4-GT-R00015,79,93.2,IMNF
VGA4-GT-R00015,93.2,96,INF
VGA4-GT-R00015,96,100,ICTF
VGA4-GT-R00014,0,6.7,AT
VGA4-GT-R00010,6.5,12.75,IS
VGA4-GT-R00010,17.15,26.85,IS
VGA4-GT-R00009,0,18.5,ICTS
VGA4-GT-R00009,18.5,19.3,IC
VGA4-GT-R00009,19.3,54.55,ICTF
VGA4-GT-R00009,54.55,60,ICTC
VGA4-GT-R00008,0,36.9,ICTF
VGA4-GT-R00008,36.9,48.55,ICTS
VGA4-GT-R00008,48.55,60,IC
VGA4-GT-R00007,8.3,13.3,ICTS
VGA4-GT-R00007,13.3,31,ICTF
VGA4-GT-R00007,31,31.25,INF
VGA4-GT-R00007,43.1,45.1,SR
VGA4-GT-R00007,45.1,50,INF
VGA4-GT-R00006,0,50,ICTF
VGA4-GT-R00002,0,28,ICTF
VGA4-GT-R00002,28,33.6,ICTC
VGA4-GT-R00002,33.6,36.6,IGOF
VGA4-GT-R00002,36.6,60,ICTS
VGA4-GT-D00006,0,9.55,IF
VGA4-GT-D00006,57,60,INF
VGA4-GT-D00006,60,64.9,IGOF
VGA4-GT-D00006,64.9,70.5,INF
VGA4-GT-D00006,70.5,74.5,FLF
VGA4-GT-D00006,74.5,85.35,FGF
VGA4-GT-D00003,23.45,37,ICTS
VGA4-GT-D00003,37,57.65,ICTS
VGA4-GT-D00003,57.65,62.25,IGOS
VGA4-GT-D00003,62.25,68.3,INS
VGA4-GT-D00003,68.3,71.25,IC
VGA4-GT-D00003,71.25,75.6,IGOS
VGA4-GT-D00003,75.6,80.15,INS
VGA4-GT-D00003,80.15,83.4,ICTF
VGA4-GT-D00003,83.4,102.1,FGF
VGA4-GT-D00002,0,5.3,IF
VGA4-GT-D00002,104.6,108.2,ICTS
VGA4-GT-D00002,139.9,141.1,INF
VGA4-GT-D00002,153.3,154.05,IGOF
VGA4-GT-D00002,166.3,167.6,INF
VGA4-GT-D00002,244.35,247.3,IGOF
VGA4-GT-D00002,312.1,312.65,INF
VGA4-GT-D00002,329,332.25,INF
VGA4-GT-D00002,350,350.8,INF
VGA4-GT-D00002,350.8,352.2,FLC
VGA4-GT-D00002,352.2,355.05,INF
VGA4-GT-D00002,355.05,358.5,FLC
VGA4-GT-D00002,358.5,359.6,INF
VGA4-GT-D00002,359.6,362.55,FLS
VGA4-GT-D00002,362.55,363.45,INF
VGA4-GT-D00002,363.45,364.2,FLS
VGA4-GT-D00002,364.2,365.85,INF
VGA4-GT-D00002,365.85,367.9,FLC
VGA4-GT-D00002,367.9,369.45,INF
VGA4-GT-D00002,369.45,372.2,FLC
VGA4-GT-D00002,372.2,380,FLC
VGA4-GT-D00001,23.25,34.5,IS
VGA4-GT-D00001,102,110.4,IGOF
VGA4-GT-D00001,110.4,110.7,INF
VGA4-GT-D00001,110.7,125.5,ICTF
VGA4-GT-D00001,125.5,130.15,IGOF
UJRN43I-0537,0,64,HF
UJRN43I-0535,0,53.05,MSD
UJRN43I-0535,53.05,54.05,MS
UJRN43I-0535,54.05,90.05,MS
UJRN43I-0534,0,62.18,MD
UJRN43I-0533,0,61.55,HF
UJRN43I-0533,61.55,65.13,JPS
UJRJP0562,0,15,AT
UJRJP0562,15,47.45,IF
UJRJP0562,47.45,57.5,IS
UJRJP0527,0,8.55,IF
UJRJP0527,8.55,23.1,IF
UJRJP0527,23.1,30.8,HF
UJRJP0527,30.8,76.5,IF
UJRD7P0212,0,1.2,AT
UJRD7P0212,1.2,13.8,IF
UJRD7P0212,13.8,25.25,IMNF
UJRD7P0212,25.25,42.1,QFF
UJRD7P0211,0,30,IARF
UJRD7P0208,0,32.2,IMNF
UJRD7P0205,0,7.15,HMNF
UJRD7P0205,7.15,30,IMNF
UJRD7P0204,0,5.2,AT
UJRD7P0204,5.2,43.65,QFF
UJRD7P0204,43.65,48.9,ICTF
UJRD7P0204,48.9,53.2,QFF
UJRD7P0202,0,5,IF
UJRD7P0202,5,10.35,HF
UJRD7P0202,10.35,23.5,HMNF
UJRD7P0202,23.5,45,HF
UJRA4D0070,0,82.4,DT
UJRA4D0070,82.4,106.1,IF
UJRA4D0069,0,3.7,AT
UJRA4D0069,3.7,11.25,XTF
UJRA4D0069,11.25,26.1,HC
UJRA4D0069,26.1,35.7,IF
UJRA4D0069,35.7,56.1,XTF
UJRA4D0069,56.1,64.5,INF
UJRA4D0068,0,5.35,AT
UJRA4D0068,5.35,30.9,IF
UJRA4D0068,30.9,73.45,BRS
UJRA4D0068,73.45,85.3,BRF
UJRA4D0068,85.3,92.35,BRS
UJRA4D0068,92.35,94.45,FLF
UJRA4D0067,0,5.35,AT
UJRA4D0067,5.35,15.6,FLF
UJRA4D0067,15.6,30.8,INF
UJRA4D0066,0,3.85,AT
UJRA4D0066,3.85,6.6,XTF
UJRA4D0066,6.6,14,HF
UJRA4D0066,14,20.85,IF
UJRA4D0066,20.85,34.7,BRF
UJRA4D0066,34.7,44.8,IF
UJRA4D0066,44.8,47.7,FLF
UJRA4D0066,47.7,61.1,IMNF
UJRA4D0066,61.1,64,FLF
UJRA4D0066,87.5,96,QFF
UJRA4D0066,96,113,IF
UJRA4D0066,125.3,130,QFF
UJRA4D0065,0,4.95,AT
UJRA4D0065,4.95,10.1,HCTF
UJRA4D0065,10.1,28.5,HF
UJRA4D0065,28.5,47.45,IARF
UJRA4D0065,47.45,57.75,BRF
UJRA4D0064,0,10.85,AT
UJRA4D0064,10.85,22.4,IF
UJRA4D0064,22.4,40.45,BRF
UJRA4D0064,40.45,82.4,IF
UJRA4D0063,8.55,12.15,INF
UJRA4D0063,12.15,17.25,FLF
UJRA4D0063,17.25,25.35,INF
UJRA4D0063,25.35,62.75,FLF
UJRA4D0062,0,3.3,AT
UJRA4D0062,3.3,33.6,FLF
UJRA4D0061,0,7.75,AT
UJRA4D0061,7.75,30,INF
UJRA4D0060,0,4.05,CG
UJRA4D0060,4.05,31.85,HF
UJRA4D0051,0,3.2,AT
UJRA4D0051,3.2,12.5,LTF
UJRA4D0051,12.5,24.2,IARF
UJRA4D0051,24.2,80.2,IF
UJRA4D0051,80.2,85.05,IC
UJRA4D0051,85.05,98.3,BRF
UJRA4D0051,98.3,115.35,IS
UJRA4D0051,115.35,117.7,INF
UJRA4D0051,117.7,126.3,IMNF
UJN5N-GT-J00007,0,1.3,AT
UJN5N-GT-J00007,1.3,5.25,IF
UJN5N-GT-J00007,5.25,6.75,SR
UJN5N-GT-J00007,6.75,13.7,ICTF
UJN5N-GT-J00007,13.7,15.2,SR
UJN5N-GT-J00007,15.2,29.05,INF
UJN5N-GT-J00007,61.55,73.6,INF
UJN5N-GT-J00007,99.3,103.6,INF
UJN5N-GT-J00007,103.6,109.7,INF
UJN5N-GT-J00007,125.7,179.8,INF
UJN5N-GT-J00007,179.8,191.8,INF
UJN5N-GT-J00007,191.8,193.3,SR
UJN5N-GT-J00007,193.3,193.55,INF
UJN5N-GT-J00007,193.55,195.05,SR
UJN5N-GT-J00007,195.05,200,INF
UJN5N-GT-J00006,0,16.3,FLF
UJN5N-GT-J00006,16.3,29.55,QFF
UJN5N-GT-J00006,29.55,37.35,QZC
UJN5N-GT-J00006,37.35,49.5,QZF
UJN5N-GT-J00006,49.5,57.65,FLF
UJN5N-GT-J00006,70.95,76,QFF
UJN5N-GT-J00006,76,78.9,QFC
UJN5N-GT-J00006,78.9,82.25,QFF
UJN5N-GT-J00006,82.25,96.9,QZF
UJN5N-GT-J00006,103.45,105.35,QZF
UJN5N-GT-J00006,115.45,118.5,QZS
UJN5N-GT-J00006,118.5,120.3,QZF
UJN5N-GT-J00006,120.3,125.4,QZC
UJN5N-GT-J00006,125.4,130.1,QFC
UJN5N-GT-J00005,0,16.1,QZF
UJN5N-GT-J00005,16.1,19.1,SR
UJN5N-GT-J00005,71.4,77.9,QZF
UJN5N-GT-J00005,115.45,119.1,QZS
UJN5N-GT-J00005,119.1,123.55,QZS
UJN5N-GT-J00005,184.95,189.2,ICTC
UJN5N-GT-J00005,189.2,195.1,QZC
UJN5N-GT-J00004,0,1.45,AT
UJN5N-GT-J00004,1.45,10.4,FLF
UJN5N-GT-J00004,10.4,18,QFF
UJN5N-GT-J00004,18,34.85,FLF
UJN5N-GT-J00004,34.85,54.45,QFF
UJN5N-GT-J00004,89,93.2,QFC
UJN5N-GT-J00004,93.2,97.05,QZS
UJN5N-GT-J00004,97.05,99.25,QZC
UJN5N-GT-J00004,99.25,102.15,QZF
UJN5N-GT-J00004,114.9,130.95,QZF
UJN5N-GT-J00004,145.4,149.15,FLS
UJN5N-GT-J00004,166.6,172.05,QZF
UJN5N-GT-J00004,179.35,200,QFF
UJN5N-GT-J00003,0,3.3,AT
UJN5N-GT-J00003,3.3,9.9,ICTF
UJN5N-GT-J00003,43.3,107.25,IGOF
UJN5N-GT-J00003,107.25,108.4,VQ
UJN5N-GT-J00003,108.4,111.2,IGOF
UJN5N-GT-J00003,111.2,120.5,IF
UJN5N-GT-J00003,120.5,136.3,IGOF
UJN5N-GT-J00003,136.3,139.3,IF
UJN5N-GT-J00003,139.3,140.8,SR
UJN5N-GT-J00003,140.8,149.7,IF
UJN5N-GT-J00003,149.7,152.65,IF
UJN5N-GT-J00003,152.65,168.55,IF
UJN5N-GT-J00003,168.55,176.9,IF
UJN5N-GT-J00003,176.9,189.1,IF
UJN5N-GT-J00003,189.1,194.85,IS
UJN5N-GT-J00002,0,13.35,IF
UJN5N-GT-J00002,13.35,19.3,ICTF
UJN5N-GT-J00002,19.3,23.05,ICTC
UJN5N-GT-J00002,23.05,33.35,IC
UJN5N-GT-J00002,44.9,51,ICTF
UJN5N-GT-J00002,51,55.65,ICTS
UJN5N-GT-J00002,55.65,67.2,ICTF
UJN5N-GT-J00002,67.2,68.7,SR
UJN5N-GT-J00002,68.7,87.65,ICTF
UJN5N-GT-J00002,87.65,91.7,ICTS
UJN5N-GT-J00002,91.7,99.25,ICTF
UJN5N-GT-J00002,99.25,105.05,IC
UJN5N-GT-J00002,105.05,106.45,IF
UJN5N-GT-J00002,106.45,109,IS
UJN5N-GT-J00002,109,112.15,IC
UJN5N-GT-J00002,112.15,121.3,IF
UJN5N-GT-J00002,121.3,126.3,IC
UJN5N-GT-J00002,126.3,138.7,ICTS
UJN5N-GT-J00002,138.7,146.9,IC
UJN5N-GT-J00002,187.85,209.1,IS
UJN5N-GT-J00002,209.1,210,IC
UJN5N-GT-J00001,0,0.95,AT
UJN5N-GT-J00001,0.95,14.6,IF
UJN5N-GT-J00001,14.6,47.25,IF
UJN5N-GT-J00001,47.25,54.5,IF
UJN5N-GT-J00001,87.9,95.45,IS
UJN5N-GT-J00001,154.25,160.6,IS
UJN5N-GT-J00001,160.6,178.4,IS
UJN5N-GT-J00001,178.4,194,IS
UJN5N-GT-J00001,194,200,IS
UJN5N-GT-G00045,0,1.5,AT
UJN5N-GT-G00045,1.5,20.6,IMNF
UJN5N-GT-G00045,20.6,24.15,FLF
UJN5N-GT-G00045,24.15,26.7,IMNF
UJN5N-GT-G00045,28.2,46.05,IMNF
UJN5N-GT-G00045,46.05,55.05,IMNF
UJN5N-GT-G00045,55.05,93.25,IMNF
UJN5N-GT-G00045,93.25,95.2,XTF
UJN5N-GT-G00045,95.2,130.6,IMNF
UJN5N-GT-G00044,43.1,44.6,SR
UJN5N-GT-G00044,44.6,51.95,IMNF
UJN5N-GT-D00440,0,186.35,DT
UJN5N-GT-D00440,186.35,191.35,IC
UJN5N-GT-D00440,191.35,211.05,IF
UJN5N-GT-D00440,211.05,218.5,IS
UJN5N-GT-D00440,281.7,288.05,FLF
UJN5N-GT-D00440,288.05,290.9,FMS
UJN5N-GT-D00430,0,3.45,AT
UJN5N-GT-D00430,3.45,27.6,IF
UJN5N-GT-D00430,27.6,29.6,SR
UJN5N-GT-D00430,29.6,45.65,IF
UJN5N-GT-D00430,45.65,56.35,IC
UJN5N-GT-D00430,56.35,90.3,IF
UJN5N-GT-D00430,162,169.05,IF
UJN5N-GT-D00427,86.15,156,IF
UJN5N-GT-D00426,0,1.6,AT
UJN5N-GT-D00426,41.4,56,IF
UJN5N-GT-D00426,56,74.55,INF
UJN5N-GT-D00426,98.2,100.45,VQ
UJN5N-GT-D00426,136.35,137.85,SR
UJN5N-GT-D00426,179.45,186.15,IF
UJN5N-GT-D00422,0,3.8,AT
UJN5N-GT-D00422,225.1,228.85,INF
UJN5N-GT-D00422,228.85,258.3,IGOF
UJN5N-GT-D00422,258.3,268.05,IMNF
UJN5N-GT-D00422,268.05,270.9,QFF
UJN5N-GT-D00379,0,20.5,IF
UJN5N-GT-D00379,20.5,22,SR
UJN5N-GT-D00379,22,126.9,IF
UJN5N-GT-D00379,126.9,195.65,IS
UJN5N-GT-D00375,0,5.2,AT
UJN5N-GT-D00375,18.85,20.35,SR
UJN5N-GT-D00375,100.7,106.45,IC
UJN5N-GT-D00375,125.1,127.55,INS
UJN5N-GT-D00320,0,116.8,IMNF
UJN5N-GT-D00307,0,101.05,DT
UJN5N-GT-D00307,101.05,106.75,VQC
UJN5N-GT-D00307,106.75,171.55,QZF
UJN5N-GT-D00307,171.55,194.5,XTF
UJN5N-GT-D00307,210.3,217.45,XTF
UJN5N-GT-D00307,217.45,220.2,SR
UJN5N-GT-D00307,220.2,246.95,XTF
UJN5N-GT-D00306,0,4.7,AT
UJN5N-GT-D00306,17.7,25.55,IGOF
UJN5N-GT-D00306,25.55,41.8,INF
UJN5N-GT-D00306,41.8,51.3,IFR
UJN5N-GT-D00306,59.15,91.7,IFR
UJN5N-GT-D00306,91.7,103,IGOF
UJN5N-GT-D00306,214.65,235.9,XTF
UJN5N-GT-D00306,235.9,245.5,ICTF
UJN5N-GT-D00306,245.5,250,XTF
UJN5N-GT-D00306,250,256.4,ICTF
UJN5N-GT-D00306,256.4,258.85,XTF
UJN5N-GT-D00306,300.3,304.8,XTF
UJN5N-GT-D00302,0,2.5,AT
UJN5N-GT-D00302,2.5,5.5,INF
UJN5N-GT-D00302,43.45,59.45,IF
UJN5N-GT-D00302,155.95,171.15,ICTF
UJN5N-GT-D00302,207.8,217.05,XTF
UJN5N-GT-D00300,43.9,54.1,HF
UJN5N-GT-D00300,54.1,62.8,IGOF
UJN5N-GT-D00300,62.8,70.45,HF
UJN5N-GT-D00300,70.45,81.3,HGOF
UJN5N-GT-D00300,81.3,88.35,IGOF
UJN5N-GT-D00300,184.8,196.3,QFF
UJN5N-GT-D00299,0,2,AT
UJN5N-GT-D00299,2,6.25,VQF
UJN5N-GT-D00299,6.25,7.75,SR
UJN5N-GT-D00299,7.75,15.05,IGOF
UJN5N-GT-D00299,15.05,30.1,IS
UJN5N-GT-D00299,30.1,31.9,SR
UJN5N-GT-D00299,55.25,65.4,IS
UJN5N-GT-D00299,83.5,94.65,IF
UJN5N-GT-D00277,0,1.15,AT
UJN5N-GT-D00277,1.15,2.05,SO
UJN5N-GT-D00277,2.05,13.35,ICTF
UJN5N-GT-D00277,13.35,15.95,INF
UJN5N-GT-D00277,15.95,17.4,INF
UJN5N-GT-D00277,17.4,22.4,INF
UJN5N-GT-D00277,22.4,24.1,ICTF
UJN5N-GT-D00277,24.1,25.6,SR
UJN5N-GT-D00277,25.6,28.6,ICTF
UJN5N-GT-D00277,28.6,30.1,SR
UJN5N-GT-D00277,30.1,64.5,IFR
UJN5N-GT-D00277,64.5,71.35,ICTF
UJN5N-GT-D00277,71.35,84.45,IF
UJN5N-GT-D00277,84.45,122.5,FLF
UJN5N-GT-D00277,122.5,131.9,QZF
UJN5N-GT-D00277,131.9,168.15,XTF
UJN5N-GT-D00277,168.15,195.6,QZF
UJN5N-GT-D00267,0,1.6,AT
UJN5N-GT-D00267,1.6,12.9,ICTF
UJN5N-GT-D00267,12.9,23.75,HCTF
UJN5N-GT-D00267,23.75,50.7,INF
UJN5N-GT-D00267,50.7,53.8,IC
UJN5N-GT-D00267,53.8,94.3,INF
UJN5N-GT-D00267,99.15,133,TXF
UJN5N-GT-D00267,139.7,202.45,TXF
UJN5N-GT-D00267,202.45,204.3,IC
UJN5N-GT-D00267,204.3,209,QZF
UJN5N-GT-D00267,209,212.85,IF
UJN5N-GT-D00267,212.85,218.5,IS
UJN5N-GT-D00267,218.5,220,SR
UJN5N-GT-D00267,220,221,IS
UJN5N-GT-D00267,221,222.5,SR
UJN5N-GT-D00267,222.5,244,ICTC
UJN5N-GT-D00267,260.55,274.4,XTF
UJN5N-GT-D00251,0,4.25,AT
UJN5N-GT-D00251,22.45,24.4,INF
UJN5N-GT-D00251,24.4,28.65,ICTF
UJN5N-GT-D00251,148.65,152.65,ICTF
UJN5N-GT-D00251,208.45,214.5,IGOF
UJN5N-GT-D00236,0,1.15,AT
UJN5N-GT-D00236,1.15,5.1,IF
UJN5N-GT-D00236,5.1,10.7,IS
UJN5N-GT-D00236,10.7,19.95,IS
UJN5N-GT-D00236,19.95,22.3,SR
UJN5N-GT-D00236,22.3,38.05,IF
UJN5N-GT-D00236,38.05,60.2,IGOF
UJN5N-GT-D00236,60.2,88.7,IF
UJN5N-GT-D00236,88.7,94.55,IS
UJN5N-GT-D00236,94.55,105.1,IS
UJN5N-GT-D00236,105.1,113.9,IF
UJN5N-GT-D00236,113.9,123.25,IS
UJN5N-GT-D00236,123.25,158,IF
UJN5N-GT-D00236,158,164.9,IS
UJN5N-GT-D00236,164.9,171.8,IF
UJN5N-GT-D00236,179.8,208.85,IF
UJN5N-GT-D00236,208.85,226.6,IF
UJN5N-GT-D00236,226.6,246.1,IF
UJN5N-GT-D00236,271.85,362.3,IMNF
UJN5N-GT-D00203,0,15.8,FLF
UJN5N-GT-D00203,15.8,44.95,IF
UJN5N-GT-D00203,44.95,66.3,HF
UJN5N-GT-D00203,66.3,69.8,FLF
UJN5N-GT-D00128,0,1.8,AT
UJN5N-GT-D00128,1.8,32.35,IN
UJN5N-GT-D00128,42.55,97.65,IN
UJN5N-GT-D00128,97.65,101.25,QZC
UJN5N-GT-D00128,101.25,175.75,DT
UJN5N-GT-D00117,0,8.25,IF
UJN5N-GT-D00117,8.25,12.15,SR
UJN5N-GT-D00117,12.15,32.05,IF
UJN5N-GT-D00117,32.05,36.9,IS
UJN5N-GT-D00117,46.05,51.85,IF
UJN5N-GT-D00117,68.75,91.55,IF
UJN5N-GT-D00117,91.55,106.2,IF
UJN5N-GT-D00117,106.2,117.8,IF
UJN5N-GT-D00117,117.8,124.5,IF
UJN5N-GT-D00117,124.5,131.45,IS
UJN5N-GT-D00117,131.45,156.7,IF
UJN5N-GT-D00117,156.7,170.8,IF
UJN5N-GT-D00117,170.8,185.3,INF
UJN5N-GT-D00117,185.3,201.15,ICTF
UJN5N-GT-D00102,0,29.9,FLF
UJN5N-GT-D00102,29.9,38.95,ICTF
UJN5N-GT-D00102,38.95,47.8,FLF
UJN5N-GT-D00102,47.8,60.35,ICTF
UJN5N-GT-D00102,60.35,62.3,ICTS
UJN5N-GT-D00102,62.3,68.85,ICTF
UJN5N-GT-D00102,68.85,86.75,IF
UJN5N-GT-D00102,123.25,128,ICTF
UJN5N-GT-D00102,128,142.3,IGOF
UJN5N-GT-D00102,142.3,153.6,IGOF
UJN5N-GT-D00102,153.6,172.1,IGOF
UJN5N-GT-D00102,172.1,195.3,IGOF
UJN5N-GT-D00102,195.3,205.2,IF
UJN5N-GT-D00102,221.75,238.65,IC
UJN5N-GT-D00102,238.65,243.1,IS
UJN5N-GT-D00102,243.1,250.95,IS
UJN5N-GT-D00102,250.95,278.5,IF
UJN5N-GT-D00102,278.5,288,XTF
UJN5N-GT-D00102,309.85,311.35,SR
UJN5N-GT-D00102,311.35,313.5,XTC
UJN5N-GT-D00102,313.5,315.1,SR
UJN5N-GT-D00102,315.1,315.7,XTC
UJN5N-GT-D00102,315.7,319.5,SR
UJN5N-GT-D00102,319.5,320,XTC
UJDZP0099,0,0.95,RO
UJDZP0099,0.95,11.7,CG
UJDZP0099,11.7,54.5,IF
UJDZP0099,54.5,67.95,IF
UJDZP0099,67.95,75.75,IF
UJDZP0099,75.75,78.75,QZF
UJDZP0099,78.75,85.8,IMNF
UJDZP0099,91.1,100.05,QZS
UJDZP0098,0,0.45,RO
UJDZP0098,0.45,17.2,CG
UJDZP0098,17.2,39.15,IF
UJDZP0098,39.15,60.2,XTF
UJDZP0073,0,2.95,CG
UJDZP0073,2.95,21.55,IF
UJDZP0073,21.55,50.15,XTF
UJDZP0073,50.15,64.3,QFC
UJDUZ0306,0,5.85,HF
UJDUZ0306,5.85,11,JPF
UJDUZ0306,11,22,JPS
UJDUZ0306,22,24.05,AHEF
UJDUZ0306,24.05,26.6,JPS
UJDUZ0306,26.6,29.85,AHEF
UJDUZ0306,29.85,43.25,JPS
UJDUZ0306,43.25,44.25,SR
UJDUZ0306,44.25,57.2,JPS
UJDUZ0306,57.2,58.2,SR
UJDUZ0306,58.2,60.5,JPS
UJDUZ0306,60.5,61.5,SR
UJDUZ0306,61.5,67.4,JPS
UJDUZ0306,67.4,68.95,AHEF
UJDUZ0306,68.95,69.8,JPS
UJDUZ0306,69.8,70.95,SR
UJDUZ0306,70.95,87.85,JPS
UJDUZ0306,87.85,89,AHEF
UJDUZ0306,89,114.65,JPS
UJDUZ0306,114.65,115.65,SR
UJDUZ0306,115.65,123.55,JPS
UJDUZ0306,123.55,124.75,SR
UJDUZ0306,124.75,160.85,JPS
UJDUZ0306,160.85,161.85,SR
UJDUZ0306,161.85,170.9,JPS
UJDUZ0306,170.9,172.8,AMNS
UJDUZ0306,172.8,182.35,JPS
UJDUZ0306,182.35,184.95,AHES
UJDUZ0306,184.95,220.7,JPS
UJDUZ0306,220.7,222.9,AHES
UJDUZ0306,222.9,228.25,JPS
UJDUZ0306,228.25,231.6,AHES
UJDUZ0306,231.6,240.05,JPS
UJDUZ0303,0,6.4,HF
UJDUZ0303,6.4,11.65,AHEF
UJDUZ0303,11.65,26.2,JPS
UJDUZ0303,26.2,28.9,AHES
UJDUZ0303,28.9,31.85,JPS
UJDUZ0303,34.95,46.1,JPS
UJDUZ0303,46.1,53.8,JPS
UJDUZ0303,53.8,57.3,AHES
UJDUZ0303,57.3,68.15,JPS
UJDUZ0303,68.15,74.45,JPS
UJDUZ0303,74.45,76.4,AHEF
UJDUZ0303,76.4,88.8,JPS
UJDUZ0303,88.8,89.9,SR
UJDUZ0303,89.9,115.3,JPS
UJDUZ0303,115.3,116.3,AHEF
UJDUZ0303,116.3,119.95,JPS
UJDUZ0303,119.95,138.6,JPS
UJDUZ0303,138.6,139.65,HS
UJDUZ0303,139.65,148.05,JPS
UJDUZ0302,0,2.6,HF
UJDUZ0302,2.6,11.75,JPF
UJDUZ0302,11.75,12.95,AHEF
UJDUZ0302,12.95,14.4,JPS
UJDUZ0302,14.4,15.4,SR
UJDUZ0302,15.4,16.6,JPS
UJDUZ0302,16.6,23.9,AHEF
UJDUZ0302,23.9,30.85,JPS
UJDUZ0302,30.85,31.9,AHEF
UJDUZ0302,31.9,42.4,JPS
UJDUZ0302,42.4,44.25,AHEF
UJDUZ0302,44.25,69.35,JPS
UJDUZ0302,69.35,70.95,JPS
UJDUZ0302,70.95,154.8,JPS
UJDUZ0302,154.8,155.85,AHEF
UJDUZ0302,155.85,161.05,JPS
UJDUZ0302,161.05,162.05,SR
UJDUZ0302,162.05,177.65,JPS
UJDUZ0302,177.65,179.95,AMNF
UJDUZ0302,179.95,184.15,JPS
UJDUZ0302,184.15,190.25,AMNC
UJDUZ0302,190.25,218.05,JPS
UJDUZ0302,218.05,220.6,AMNC
UJDUZ0302,220.6,238.85,JPS
UJDUZ0302,238.85,241.3,AMNC
UJDUZ0302,241.3,243,JPS
UJDUZ0302,243,247.75,AMNC
UJDUZ0302,247.75,289.15,JPS
UJDUZ0302,289.15,303.7,AMNC
UJDUZ0302,303.7,324,JPS
UJDUZ0302,324,331.8,COC
UJDUZ0302,331.8,337.5,QZS
UJDUZ0302,337.5,355.9,ZT
UJDUZ0301,0,14,DT
UJDUZ0301,14,22.95,JPC
UJDUZ0301,22.95,24.65,ACS
UJDUZ0301,24.65,26.05,JPC
UJDUZ0301,27.55,29,SIC
UJDUZ0224,0,2.3,HF
UJDUZ0224,2.3,10.7,JPF
UJDUZ0224,10.7,13.15,JPS
UJDUZ0224,13.15,14.65,SR
UJDUZ0224,14.65,15.3,JPF
UJDUZ0224,15.3,16.3,SR
UJDUZ0224,16.3,18.2,JPS
UJDUZ0224,18.2,20,AHEF
UJDUZ0224,20,23.45,JPS
UJDUZ0224,23.45,34.35,JPS
UJDUZ0223,0,4.15,JPF
UJDUZ0223,4.15,18.2,JPS
UJDUZ0223,18.2,23,JPC
UJDUZ0223,23,24.75,AHEF
UJDUZ0223,24.75,28.3,JPC
UJDUZ0215,0,1.05,HF
UJDUZ0215,1.05,8.55,JPF
UJDUZ0215,8.55,17.95,JPS
UJDUZ0215,17.95,27.1,JPC
UJDUZ0212,0,2.1,RO
UJDUZ0212,2.1,10,JPF
UJDUZ0212,10,13.65,JPS
UJDUZ0212,13.65,14.9,JPF
UJDUZ0212,14.9,20.35,AMNS
UJDUZ0212,20.35,23.2,JPF
UJDUZ0212,23.2,24.2,JPS
UJDUZ0212,24.2,26.45,JPF
UJDUZ0212,26.45,40.75,JPS
UJDUZ0211,0,4.8,HF
UJDUZ0211,4.8,14.6,JPF
